InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,PrimaryPositionPlayer,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Joe Connors,1,1,22,2,2,0,0,0,0,0,0.091,0.091,0,2,0,1884,connojo01
FALSE,FALSE,Zach Eflin,0,9,167,10,21,3,0,1,6,0,0.126,0.162,0,27,0,2024,eflinza01
FALSE,FALSE,Roy Wilson,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1928,wilsoro01
FALSE,FALSE,Joaquin Andujar,0,13,607,31,77,12,2,5,38,7,0.127,0.178,4,108,7,1988,andujjo01
FALSE,FALSE,Conrad Cardinal,0,1,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1963,cardico01
FALSE,FALSE,Ed Foster,0,1,6,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1908,fosteed01
FALSE,FALSE,Bert Hall,0,1,3,1,1,0,0,0,0,0,0.333,0.333,0,1,0,1911,hallbe01
FALSE,FALSE,Joey Wentz,0,3,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,wentzjo01
FALSE,FALSE,George Halas,1,1,22,0,2,0,0,0,0,0,0.091,0.091,0,2,0,1919,halasge01
FALSE,FALSE,Tom Lee,1,1,106,11,26,2,0,0,1,0,0.245,0.264,0,28,0,1884,leeto01
FALSE,FALSE,Charlie Lindstrom,1,1,1,1,1,0,1,0,1,0,1.000,3.000,0,3,0,1958,lindsch02
FALSE,FALSE,Tom Miller,1,2,8,2,2,0,0,0,0,1,0.250,0.250,0,2,0,1919,milleto02
FALSE,FALSE,Micheal Nakamura,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2004,nakammi01
FALSE,FALSE,Ervin Santana,0,16,103,11,13,3,0,0,8,0,0.126,0.155,2,16,1,2021,santaer01
FALSE,FALSE,Pug Bennett,1,2,919,86,228,24,9,1,55,27,0.248,0.297,0,273,0,1907,bennepu01
FALSE,FALSE,Blake Dunn,1,1,26,8,4,1,0,1,1,2,0.154,0.308,0,8,0,2024,dunnbl01
FALSE,FALSE,Ryan Goins,1,8,1545,154,353,71,12,22,158,6,0.228,0.333,0,514,0,2020,goinsry01
FALSE,FALSE,Howie Jones,1,1,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1921,jonesho01
FALSE,FALSE,Nick Plummer,1,1,29,4,4,1,0,2,6,0,0.138,0.379,0,11,0,2022,plummni01
FALSE,FALSE,Ralph Schwamb,0,1,10,1,3,1,0,0,0,0,0.300,0.400,0,4,0,1948,schwabl01
FALSE,FALSE,Alberto Arias,0,3,6,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2009,ariasal02
FALSE,FALSE,Tom Brookens,1,12,3865,477,950,175,40,71,431,86,0.246,0.367,0,1418,1,1990,brookto01
FALSE,FALSE,Mike Cvengros,0,6,174,19,35,5,2,0,13,0,0.201,0.253,0,44,0,1929,cvengmi01
FALSE,FALSE,Joel Hanrahan,0,7,17,3,4,2,1,0,3,0,0.235,0.471,2,8,1,2013,hanrajo01
FALSE,FALSE,Patsy Donovan,1,17,7505,1321,2256,208,75,16,738,518,0.301,0.355,0,2662,0,1907,donovpa01
FALSE,FALSE,Chester Emerson,1,2,19,2,4,0,0,0,0,1,0.211,0.211,0,4,0,1912,emersch01
FALSE,FALSE,Dave Ford,0,4,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1981,fordda02
FALSE,FALSE,Mark Hamburger,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2011,hambuma01
FALSE,FALSE,Willie Jones,1,15,5826,786,1502,252,33,190,812,40,0.258,0.410,2,2390,0,1961,joneswi01
FALSE,FALSE,Vic Keen,0,8,230,18,34,4,0,0,12,1,0.148,0.165,0,38,0,1927,keenvi01
