InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,TRUE,Lance Berkman,15,6491,1146,1905,422,30,366,1234,86,.293,.537,6,0,0,0,0,3485,2,2013,berkmla01
FALSE,FALSE,Carlos Bernier,1,310,48,66,7,8,3,31,15,.213,.316,0,0,0,0,0,98,0,1953,bernica01
TRUE,TRUE,Yogi Berra,19,7555,1175,2150,321,49,358,1430,30,.285,.482,15,3,0,0,0,3643,13,1965,berrayo01
FALSE,FALSE,Charlie Berry,1,170,21,38,8,1,1,0,0,.224,.300,0,0,0,0,0,51,0,1884,berrych01
FALSE,TRUE,Charlie Berry,11,2018,196,539,88,29,23,256,13,.267,.374,0,0,0,0,0,754,0,1938,berrych02
FALSE,FALSE,Joe Berry,1,4,0,1,0,0,0,1,1,.250,.250,0,0,0,0,0,1,0,1902,berryjo01
FALSE,FALSE,Reno Bertoia,10,1745,204,425,60,10,27,171,16,.244,.336,0,0,0,0,0,586,0,1962,bertore01
FALSE,FALSE,William Bestick,1,14,0,4,0,0,0,0,0,.286,.286,0,0,0,0,0,4,0,1872,besti01
FALSE,FALSE,Yuniesky Betancourt,9,4052,437,1057,218,29,80,457,30,.261,.388,0,0,0,0,0,1573,0,2013,betanyu01
FALSE,FALSE,Wilson Betemit,11,2093,264,558,126,8,75,283,9,.267,.442,0,0,0,0,0,925,0,2013,betemwi01
FALSE,FALSE,Larry Bettencourt,3,395,61,102,19,6,8,53,7,.258,.397,0,0,0,0,0,157,0,1932,bettela01
FALSE,TRUE,Dante Bichette,14,6381,934,1906,401,27,274,1141,152,.299,.499,4,0,0,0,0,3183,2,2001,bicheda01
FALSE,FALSE,Steve Bieser,2,80,18,20,4,0,0,5,2,.250,.300,0,0,0,0,0,24,0,1998,biesest01
FALSE,TRUE,Carson Bigbee,11,4192,629,1205,139,75,17,324,182,.287,.369,0,0,0,0,0,1545,2,1926,bigbeca01
FALSE,FALSE,Elliot Bigelow,1,211,23,60,16,0,1,26,1,.284,.374,0,0,0,0,0,79,0,1929,bigelel01
TRUE,TRUE,Craig Biggio,20,10876,1844,3060,668,55,291,1175,414,.281,.433,7,0,0,4,0,4711,17,2007,biggicr01
FALSE,FALSE,Ivan Bigler,1,0,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,0,0,1917,biglepe01
FALSE,FALSE,George Bignell,1,9,4,2,0,0,0,0,0,.222,.222,0,0,0,0,0,2,0,1884,bignege01
FALSE,FALSE,Larry Biittner,14,3151,310,861,144,20,29,354,10,.273,.359,0,0,0,0,0,1132,0,1983,biittla01
FALSE,FALSE,Dann Bilardello,8,949,79,194,39,1,18,91,4,.204,.305,0,0,0,0,0,289,0,1992,bilarda01
FALSE,FALSE,Steve Bilko,10,1738,220,432,85,13,76,276,2,.249,.444,0,0,0,0,0,771,0,1962,bilkost01
FALSE,FALSE,Josh Billings,11,488,44,106,12,5,0,29,5,.217,.262,0,0,0,0,0,128,0,1923,billijo01
FALSE,FALSE,Steve Biras,1,2,0,2,0,0,0,2,0,1.000,1.000,0,0,0,0,0,2,0,1944,birasst01
FALSE,FALSE,Jud Birchall,3,1007,196,254,24,4,1,51,0,.252,.287,0,0,0,0,0,289,0,1884,birchju01
FALSE,FALSE,Greg Bird,4,611,75,129,32,1,32,98,0,.211,.424,0,0,0,0,0,259,0,2019,birdgr01
FALSE,FALSE,Joe Birmingham,9,2633,284,667,89,27,7,265,108,.253,.316,0,0,0,0,0,831,0,1914,birmijo01
FALSE,FALSE,John Bischoff,2,271,20,71,20,3,1,35,2,.262,.369,0,0,0,0,0,100,0,1926,bischjo01
FALSE,FALSE,Frank Bishop,1,16,1,3,1,0,0,0,0,.188,.250,0,0,0,0,0,4,0,1884,bishofr01
FALSE,TRUE,Max Bishop,12,4494,966,1216,236,35,41,379,43,.271,.366,0,0,0,0,0,1645,0,1935,bishoma01
FALSE,FALSE,Mike Bishop,1,8,2,1,1,0,0,0,0,.125,.250,0,0,0,0,0,2,0,1983,bishomi01
FALSE,FALSE,Rivington Bisland,3,102,12,12,1,0,0,5,2,.118,.127,0,0,0,0,0,13,0,1914,bislari01
FALSE,FALSE,George Bjorkman,1,75,8,17,4,0,2,14,0,.227,.360,0,0,0,0,0,27,0,1983,bjorkge01
FALSE,FALSE,Bob Black,1,146,25,36,14,2,1,0,0,.247,.390,0,0,0,0,0,57,0,1884,blackbo01
FALSE,FALSE,Earl Blackburn,5,145,13,38,4,4,0,10,4,.262,.345,0,0,0,0,0,50,0,1917,blackea01
FALSE,FALSE,John Black,1,186,13,28,4,0,0,7,4,.151,.172,0,0,0,0,0,32,0,1911,blackjo01
FALSE,FALSE,Lena Blackburne,8,1807,173,387,39,23,4,139,54,.214,.268,0,0,0,0,0,484,0,1929,blackle01
FALSE,FALSE,Tim Blackwell,10,1044,91,238,40,11,6,80,3,.228,.305,0,0,0,0,0,318,0,1983,blackti01
FALSE,TRUE,Ray Blades,10,2415,467,726,133,51,50,340,33,.301,.460,0,0,0,0,0,1111,0,1932,bladera01
FALSE,FALSE,Rae Blaemire,1,5,0,2,0,0,0,0,0,.400,.400,0,0,0,0,0,2,0,1941,blaemra01
FALSE,TRUE,Paul Blair,17,6042,776,1513,282,55,134,620,171,.250,.382,2,0,0,8,0,2307,10,1980,blairpa01
